District,State,Confirmed,Recovered,Deaths,Active,Delta_Confirmed,Delta_Recovered,Delta_Deaths,Last_Updated_Time
,,,,,,,,,
Nicobars,Andaman and Nicobar Islands,0,0,0,0,0,0,0,
North and Middle Andaman,Andaman and Nicobar Islands,1,0,0,1,0,0,0,
South Andaman,Andaman and Nicobar Islands,5,0,0,5,0,0,0,
Anantapur,Andhra Pradesh,15,0,2,13,0,0,0,
Chittoor,Andhra Pradesh,20,0,0,20,0,0,0,
East Godavari,Andhra Pradesh,17,0,0,17,0,0,0,
Guntur,Andhra Pradesh,58,0,1,57,0,0,0,
Krishna,Andhra Pradesh,35,0,2,33,0,0,0,
Kurnool,Andhra Pradesh,77,0,0,77,0,0,0,
Prakasam,Andhra Pradesh,40,0,0,40,0,0,0,
S.P.S. Nellore,Andhra Pradesh,48,1,0,47,0,0,0,
Srikakulam,Andhra Pradesh,0,0,0,0,0,0,0,
Visakhapatnam,Andhra Pradesh,20,0,0,20,0,0,0,
Vizianagaram,Andhra Pradesh,0,0,0,0,0,0,0,
West Godavari,Andhra Pradesh,22,0,0,22,0,0,0,
Y.S.R.,Andhra Pradesh,29,0,0,29,0,0,0,
Anjaw,Arunachal Pradesh,0,0,0,0,0,0,0,
Changlang,Arunachal Pradesh,0,0,0,0,0,0,0,
East Kameng,Arunachal Pradesh,0,0,0,0,0,0,0,
East Siang,Arunachal Pradesh,0,0,0,0,0,0,0,
Kamle,Arunachal Pradesh,0,0,0,0,0,0,0,
Kra Daadi,Arunachal Pradesh,0,0,0,0,0,0,0,
Kurung Kumey,Arunachal Pradesh,0,0,0,0,0,0,0,
Lepa Rada,Arunachal Pradesh,0,0,0,0,0,0,0,
Lohit,Arunachal Pradesh,1,0,0,1,0,0,0,
Longding,Arunachal Pradesh,0,0,0,0,0,0,0,
Lower Dibang Valley,Arunachal Pradesh,0,0,0,0,0,0,0,
Lower Siang,Arunachal Pradesh,0,0,0,0,0,0,0,
Lower Subansiri,Arunachal Pradesh,0,0,0,0,0,0,0,
Namsai,Arunachal Pradesh,0,0,0,0,0,0,0,
Pakke Kessang,Arunachal Pradesh,0,0,0,0,0,0,0,
Papum Pare,Arunachal Pradesh,0,0,0,0,0,0,0,
Shi Yomi,Arunachal Pradesh,0,0,0,0,0,0,0,
Siang,Arunachal Pradesh,0,0,0,0,0,0,0,
Tawang,Arunachal Pradesh,0,0,0,0,0,0,0,
Tirap,Arunachal Pradesh,0,0,0,0,0,0,0,
Upper Dibang Valley,Arunachal Pradesh,0,0,0,0,0,0,0,
Upper Siang,Arunachal Pradesh,0,0,0,0,0,0,0,
