State,District,Confirmed,Recovered,Deaths,Active
Andaman and Nicobar Islands,Nicobars,0,0,0,0
Andaman and Nicobar Islands,North and Middle Andaman,1,1,0,0
Andaman and Nicobar Islands,South Andaman,14,14,0,0
Andhra Pradesh,Anantapur,29,27,0,2
Andhra Pradesh,Chittoor,28,28,0,0
Andhra Pradesh,East Godavari,24,24,0,0
Andhra Pradesh,Guntur,128,124,0,4
Andhra Pradesh,Krishna,75,71,0,4
Andhra Pradesh,Kurnool,158,155,0,3
Andhra Pradesh,Prakasam,44,44,0,0
Andhra Pradesh,S.P.S. Nellore,68,65,1,2
Andhra Pradesh,Srikakulam,0,0,0,0
Andhra Pradesh,Visakhapatnam,21,15,6,0
Andhra Pradesh,Vizianagaram,0,0,0,0
Andhra Pradesh,West Godavari,35,35,0,0
Andhra Pradesh,Y.S.R.,37,36,0,1
Arunachal Pradesh,Anjaw,0,0,0,0
Arunachal Pradesh,Changlang,0,0,0,0
Arunachal Pradesh,East Kameng,0,0,0,0
Arunachal Pradesh,East Siang,0,0,0,0
Arunachal Pradesh,Kamle,0,0,0,0
Arunachal Pradesh,Kra Daadi,0,0,0,0
Arunachal Pradesh,Kurung Kumey,0,0,0,0
Arunachal Pradesh,Lepa Rada,0,0,0,0
Arunachal Pradesh,Lohit,1,1,0,0
Arunachal Pradesh,Longding,0,0,0,0
Arunachal Pradesh,Lower Dibang Valley,0,0,0,0
Arunachal Pradesh,Lower Siang,0,0,0,0
Arunachal Pradesh,Lower Subansiri,0,0,0,0
Arunachal Pradesh,Namsai,0,0,0,0
Arunachal Pradesh,Pakke Kessang,0,0,0,0
Arunachal Pradesh,Papum Pare,0,0,0,0
Arunachal Pradesh,Shi Yomi,0,0,0,0
Arunachal Pradesh,Siang,0,0,0,0
Arunachal Pradesh,Tawang,0,0,0,0
Arunachal Pradesh,Tirap,0,0,0,0
Arunachal Pradesh,Upper Dibang Valley,0,0,0,0
Arunachal Pradesh,Upper Siang,0,0,0,0
Arunachal Pradesh,Upper Subansiri,0,0,0,0
Arunachal Pradesh,West Kameng,0,0,0,0
Arunachal Pradesh,West Siang,0,0,0,0
Assam,Baksa,0,0,0,0
Assam,Barpeta,0,0,0,0
Assam,Biswanath,0,0,0,0
Assam,Bongaigaon,0,0,0,0
Assam,Cachar,2,1,1,0
Assam,Charaideo,0,0,0,0
Assam,Chirang,0,0,0,0
Assam,Darrang,0,0,0,0
Assam,Dhemaji,0,0,0,0
Assam,Dhubri,4,4,0,0
Assam,Dibrugarh,0,0,0,0
Assam,Dima Hasao,0,0,0,0
Assam,Goalpara,4,4,0,0
Assam,Golaghat,1,1,0,0
Assam,Hailakandi,1,0,0,1
Assam,Hojai,0,0,0,0
Assam,Jorhat,8,8,0,0
Assam,Kamrup,1,1,0,0
Assam,Kamrup Metropolitan,6,4,2,0
Assam,Karbi Anglong,0,0,0,0
Assam,Karimganj,0,0,0,0
Assam,Kokrajhar,0,0,0,0
Assam,Lakhimpur,1,1,0,0
Assam,Majuli,0,0,0,0
Assam,Morigaon,3,3,0,0
Assam,Nagaon,0,0,0,0
Assam,Nalbari,3,3,0,0
Assam,Sivasagar,0,0,0,0
Assam,Sonitpur,0,0,0,0
Assam,South Salmara Mancachar,1,1,0,0
Assam,Tinsukia,0,0,0,0
Assam,Udalguri,0,0,0,0
Assam,West Karbi Anglong,0,0,0,0
Bihar,Araria,0,0,0,0
Bihar,Arwal,0,0,0,0
Bihar,Aurangabad,28,24,1,3
Bihar,Banka,0,0,0,0
Bihar,Begusarai,9,8,1,0
Bihar,Bhagalpur,1,0,1,0
Bihar,Bhojpur,1,1,0,0
Bihar,Buxar,4,4,0,0
Bihar,Darbhanga,0,0,0,0
Bihar,Gaya,5,2,3,0
Bihar,Gopalganj,3,1,2,0
Bihar,Jamui,0,0,0,0
Bihar,Jehanabad,0,0,0,0
Bihar,Kaimur Bhabua,0,0,0,0
Bihar,Katihar,0,0,0,0
Bihar,Khagaria,0,0,0,0
Bihar,Kishanganj,0,0,0,0
Bihar,Lakhisarai,1,0,1,0
Bihar,Madhepura,0,0,0,0
Bihar,Madhubani,0,0,0,0
Bihar,Munger,20,13,6,1
Bihar,Muzaffarpur,0,0,0,0
Bihar,Nalanda,11,9,2,0
Bihar,Nawada,3,2,1,0
Bihar,West Champaran,0,0,0,0
Bihar,Patna,7,2,5,0
Bihar,East Champaran,0,0,0,0
Bihar,Purnia,0,0,0,0
Bihar,Rohtas,0,0,0,0
Bihar,Saharsa,0,0,0,0
Bihar,Samastipur,0,0,0,0
Bihar,Saran,1,0,1,0
Bihar,Sheikhpura,0,0,0,0
Bihar,Sheohar,0,0,0,0
Bihar,Sitamarhi,0,0,0,0
Bihar,Siwan,29,23,6,0
Bihar,Supaul,0,0,0,0
Bihar,Vaishali,1,0,0,1
Chandigarh,Chandigarh,26,24,2,0
Chhattisgarh,Balod,0,0,0,0
Chhattisgarh,Baloda Bazar,0,0,0,0
Chhattisgarh,Balrampur,0,0,0,0
Chhattisgarh,Bametara,0,0,0,0
Chhattisgarh,Bastar,0,0,0,0
Chhattisgarh,Bijapur,0,0,0,0
Chhattisgarh,Bilaspur,1,0,1,0
Chhattisgarh,Dakshin Bastar Dantewada,0,0,0,0
Chhattisgarh,Dhamtari,0,0,0,0
Chhattisgarh,Durg,1,0,1,0
Chhattisgarh,Gariaband,0,0,0,0
Chhattisgarh,Janjgir Champa,0,0,0,0
Chhattisgarh,Jashpur,0,0,0,0
